Index;ZCF.Close;ZCF.Volume;ZCF.Adjusted
03/01/2005;201.75;1743;201.75
04/01/2005;201;1357;201
05/01/2005;201.5;1159;201.5
06/01/2005;208.75;7093;208.75
07/01/2005;206.75;1307;206.75
10/01/2005;206.75;998;206.75
11/01/2005;206.75;1091;206.75
12/01/2005;200.5;1427;200.5
13/01/2005;200;1189;200
14/01/2005;197.25;3171;197.25
17/01/2005;NA;NA;NA
18/01/2005;196;867;196
19/01/2005;196.75;594;196.75
20/01/2005;197.75;401;197.75
21/01/2005;197;1033;197
24/01/2005;197.75;505;197.75
25/01/2005;199;1975;199
26/01/2005;198.75;829;198.75
27/01/2005;195.75;1176;195.75
28/01/2005;195.75;1612;195.75
31/01/2005;197;1051;197
01/02/2005;197;702;197
02/02/2005;195.25;525;195.25
03/02/2005;195;386;195
04/02/2005;195;588;195
07/02/2005;196.25;934;196.25
08/02/2005;194.75;879;194.75
09/02/2005;195;830;195
10/02/2005;198.25;875;198.25
11/02/2005;198.25;2785;198.25
14/02/2005;200.5;1029;200.5
15/02/2005;200;930;200
16/02/2005;197;1193;197
17/02/2005;199.25;998;199.25
18/02/2005;200;2883;200
21/02/2005;NA;NA;NA
22/02/2005;207.5;863;207.5
23/02/2005;205.75;820;205.75
24/02/2005;205.75;1268;205.75
25/02/2005;211.5;915;211.5
28/02/2005;214.5;441;214.5
01/03/2005;211;9;211
02/03/2005;210.25;212;210.25
03/03/2005;209.5;348;209.5
04/03/2005;209;66;209
07/03/2005;205.5;65;205.5
08/03/2005;206.75;78;206.75
09/03/2005;209.25;42;209.25
10/03/2005;212.5;42;212.5
11/03/2005;217.5;2;217.5
14/03/2005;214.5;2819;214.5
15/03/2005;228.5;2985;228.5
16/03/2005;225.5;2897;225.5
17/03/2005;223.5;2679;223.5
18/03/2005;219.75;1046;219.75
21/03/2005;214.5;1016;214.5
22/03/2005;214;3881;214
23/03/2005;210.75;1220;210.75
24/03/2005;210.5;933;210.5
25/03/2005;NA;NA;NA
28/03/2005;212.75;568;212.75
29/03/2005;213;792;213
30/03/2005;212.5;915;212.5
31/03/2005;213;1856;213
01/04/2005;212.75;760;212.75
04/04/2005;209.75;693;209.75
05/04/2005;205.5;464;205.5
06/04/2005;207.25;799;207.25
07/04/2005;205.5;623;205.5
08/04/2005;204;873;204
11/04/2005;205.75;3102;205.75
12/04/2005;206.75;657;206.75
13/04/2005;205.75;718;205.75
14/04/2005;207.5;706;207.5
15/04/2005;206.25;766;206.25
18/04/2005;204.25;364;204.25
19/04/2005;209.5;966;209.5
20/04/2005;210.75;723;210.75
21/04/2005;211.25;222;211.25
22/04/2005;209.25;983;209.25
25/04/2005;213.25;319;213.25
26/04/2005;213;403;213
27/04/2005;208.25;307;208.25
28/04/2005;204.5;737;204.5
29/04/2005;204.75;564;204.75
02/05/2005;200.5;37;200.5
03/05/2005;197;9;197
04/05/2005;198;153;198
05/05/2005;199.75;39;199.75
06/05/2005;200.5;10;200.5
09/05/2005;199.75;11;199.75
10/05/2005;200.25;11;200.25
11/05/2005;198.25;17;198.25
12/05/2005;196.25;17;196.25
13/05/2005;195.25;1159;195.25
16/05/2005;207;2258;207
17/05/2005;207.5;586;207.5
18/05/2005;210.75;2424;210.75
19/05/2005;209.5;1128;209.5
20/05/2005;213.25;3051;213.25
23/05/2005;224.5;4699;224.5
24/05/2005;221.25;2236;221.25
25/05/2005;222.75;834;222.75
26/05/2005;225;4868;225
27/05/2005;221.25;4972;221.25
30/05/2005;NA;NA;NA
31/05/2005;222;1942;222
01/06/2005;224.5;2138;224.5
02/06/2005;217;2803;217
03/06/2005;218.25;4651;218.25
06/06/2005;220.75;2515;220.75
07/06/2005;220.25;3645;220.25
08/06/2005;216;3120;216
09/06/2005;215.5;1106;215.5
10/06/2005;210;3192;210
13/06/2005;215;3055;215
14/06/2005;219;2258;219
15/06/2005;224.25;1788;224.25
16/06/2005;225.75;2133;225.75
17/06/2005;229;7407;229
20/06/2005;235.5;2895;235.5
21/06/2005;232.25;2076;232.25
22/06/2005;229.5;1827;229.5
23/06/2005;226.5;3683;226.5
24/06/2005;232.75;3917;232.75
27/06/2005;221.5;842;221.5
28/06/2005;218.5;450;218.5
29/06/2005;216.5;717;216.5
30/06/2005;212.25;258;212.25
01/07/2005;216.5;190;216.5
04/07/2005;NA;NA;NA
05/07/2005;231;495;231
06/07/2005;230.75;59;230.75
07/07/2005;233.75;6;233.75
08/07/2005;226.25;4;226.25
11/07/2005;226.75;3;226.75
12/07/2005;227;45;227
13/07/2005;237.25;7;237.25
14/07/2005;245.25;1071;245.25
15/07/2005;257.75;3851;257.75
18/07/2005;260;1063;260
19/07/2005;248.5;956;248.5
20/07/2005;241.5;1390;241.5
21/07/2005;234;1493;234
22/07/2005;233.5;1449;233.5
25/07/2005;230.5;484;230.5
26/07/2005;234.25;527;234.25
27/07/2005;236.5;652;236.5
28/07/2005;241;557;241
29/07/2005;236.5;1175;236.5
01/08/2005;231.75;932;231.75
02/08/2005;232.5;577;232.5
03/08/2005;227;1109;227
04/08/2005;224.5;709;224.5
