ds;y;cutoff;y_forecasted
02/01/2019;119.53;01/01/2019;119.39
03/01/2019;119.62;01/01/2019;119.02
04/01/2019;119.70;01/01/2019;118.97
07/01/2019;119.85;01/01/2019;118.91
08/01/2019;119.65;01/01/2019;118.84
09/01/2019;119.32;01/01/2019;118.76
10/01/2019;119.15;01/01/2019;118.68
11/01/2019;119.38;01/01/2019;118.59
14/01/2019;119.34;01/01/2019;118.51
15/01/2019;119.29;01/01/2019;118.42
16/01/2019;119.53;01/01/2019;118.33
17/01/2019;119.54;01/01/2019;118.24
18/01/2019;119.54;01/01/2019;118.15
21/01/2019;119.74;01/01/2019;118.06
22/01/2019;119.99;01/01/2019;117.97
23/01/2019;120.16;01/01/2019;117.89
24/01/2019;120.21;01/01/2019;117.81
25/01/2019;120.02;01/01/2019;117.74
28/01/2019;120.48;01/01/2019;117.66
29/01/2019;120.35;01/01/2019;117.60
30/01/2019;120.13;01/01/2019;117.54
31/01/2019;120.48;01/01/2019;117.48
01/02/2019;120.40;01/01/2019;117.43
04/02/2019;120.23;01/01/2019;117.38
04/02/2019;120.23;01/02/2019;120.26
05/02/2019;120.39;01/01/2019;117.34
05/02/2019;120.39;01/02/2019;120.17
06/02/2019;120.47;01/01/2019;117.31
06/02/2019;120.47;01/02/2019;120.12
07/02/2019;120.55;01/01/2019;117.28
07/02/2019;120.55;01/02/2019;120.08
08/02/2019;120.43;01/01/2019;117.26
08/02/2019;120.43;01/02/2019;120.04
11/02/2019;120.44;01/01/2019;117.24
11/02/2019;120.44;01/02/2019;120.01
12/02/2019;120.63;01/01/2019;117.23
12/02/2019;120.63;01/02/2019;119.99
13/02/2019;120.84;01/01/2019;117.22
13/02/2019;120.84;01/02/2019;119.97
14/02/2019;120.84;01/01/2019;117.22
14/02/2019;120.84;01/02/2019;119.96
15/02/2019;120.72;01/01/2019;117.23
15/02/2019;120.72;01/02/2019;119.95
18/02/2019;120.89;01/01/2019;117.22
18/02/2019;120.89;01/02/2019;119.94
19/02/2019;120.83;01/01/2019;117.23
19/02/2019;120.83;01/02/2019;119.94
20/02/2019;120.79;01/01/2019;117.24
20/02/2019;120.79;01/02/2019;119.93
21/02/2019;120.79;01/01/2019;117.27
21/02/2019;120.79;01/02/2019;119.93
22/02/2019;120.88;01/01/2019;117.31
22/02/2019;120.88;01/02/2019;119.93
25/02/2019;121.13;01/01/2019;117.36
25/02/2019;121.13;01/02/2019;119.92
26/02/2019;121.28;01/01/2019;117.41
