date;yhat_final;y;residual
01/02/2022;96.76;88.61;-8.15
02/02/2022;97.29;89.17;-8.12
03/02/2022;97.66;87.35;-10.31
04/02/2022;97.87;88.37;-9.5
05/02/2022;97.95;88.01;-9.94
06/02/2022;97.93;86.53;-11.4
07/02/2022;97.83;87.2;-10.63
08/02/2022;97.65;86.87;-10.78
09/02/2022;97.41;88.03;-9.38
10/02/2022;97.14;88.06;-9.08
11/02/2022;96.83;88.51;-8.32
12/02/2022;96.51;88.51;-8
13/02/2022;96.17;89.86;-6.31
14/02/2022;95.83;90.77;-5.06
15/02/2022;95.5;91.91;-3.59
16/02/2022;95.18;91.91;-3.27
17/02/2022;94.88;92.38;-2.5
18/02/2022;94.6;93.69;-0.91
19/02/2022;94.34;95.12;0.78
20/02/2022;94.11;95.12;1.01
21/02/2022;93.9;95.12;1.22
22/02/2022;93.72;92.26;-1.46
23/02/2022;93.57;91.87;-1.7
24/02/2022;93.44;90.07;-3.37
25/02/2022;93.34;89.4;-3.94
26/02/2022;93.26;88.88;-4.38
27/02/2022;93.2;87.86;-5.34
28/02/2022;93.16;86.79;-6.37
01/03/2022;93.13;86.8;-6.33
02/03/2022;93.12;86.31;-6.81
03/03/2022;93.11;86.98;-6.13
04/03/2022;93.11;86.75;-6.36
05/03/2022;93.12;86.65;-6.47
06/03/2022;93.08;86.65;-6.43
07/03/2022;93.01;93.5;0.49
08/03/2022;92.84;93.06;0.22
09/03/2022;92.64;92.08;-0.56
10/03/2022;92.46;90.84;-1.62
11/03/2022;92.29;92.1;-0.19
12/03/2022;92.15;91.31;-0.84
13/03/2022;92.01;90.56;-1.45
14/03/2022;91.88;90.74;-1.14
15/03/2022;91.73;89.18;-2.55
16/03/2022;91.57;88.42;-3.15
17/03/2022;91.4;87.13;-4.27
18/03/2022;91.25;86.56;-4.69
19/03/2022;91.13;86.34;-4.79
20/03/2022;91.04;87.11;-3.93
21/03/2022;90.97;88.41;-2.56
22/03/2022;90.94;88.42;-2.52
23/03/2022;90.94;89.6;-1.34
24/03/2022;90.98;89.31;-1.67
25/03/2022;91.04;89.03;-2.01
26/03/2022;91.13;88.93;-2.2
27/03/2022;91.23;90.02;-1.21
28/03/2022;91.31;90.02;-1.29
29/03/2022;91.41;91.25;-0.16
30/03/2022;91.53;91.83;0.3
31/03/2022;91.7;91.83;0.13
01/04/2022;91.89;87.64;-4.25
02/04/2022;92.09;86.7;-5.39
03/04/2022;92.28;87.46;-4.82
04/04/2022;92.44;85.89;-6.55
05/04/2022;92.55;86.2;-6.35
06/04/2022;92.6;84.62;-7.98
07/04/2022;92.53;84.64;-7.89
08/04/2022;88.24;89.17;0.93
09/04/2022;88.77;87.35;-1.42
10/04/2022;89.14;88.37;-0.77
11/04/2022;89.36;88.01;-1.35
12/04/2022;89.46;86.53;-2.93
13/04/2022;89.45;87.2;-2.25
14/04/2022;89.36;86.87;-2.49
15/04/2022;89.21;88.03;-1.18
16/04/2022;89;88.06;-0.94
17/04/2022;88.75;88.51;-0.24
18/04/2022;88.48;88.51;0.03
19/04/2022;88.19;89.86;1.67
