,time_playing,Period,RTNG,GMS,Name,FideID,rtng_diff,ratio
174,1,2001-04-01,2064,15,carlsen,1503014,0.0,0.007267441860465116
173,2,2001-07-01,2084,11,carlsen,1503014,20.0,0.00527831094049904
172,3,2001-10-01,2072,19,carlsen,1503014,-12.0,0.00916988416988417
170,4,2002-04-01,2163,14,carlsen,1503014,91.0,0.006472491909385114
171,5,2002-01-01,2127,12,carlsen,1503014,-36.0,0.005641748942172073
169,6,2002-07-01,2214,19,carlsen,1503014,87.0,0.008581752484191508
168,7,2002-10-01,2250,33,carlsen,1503014,36.0,0.014666666666666666
166,8,2003-04-01,2356,19,carlsen,1503014,106.0,0.008064516129032258
167,9,2003-01-01,2279,12,carlsen,1503014,-77.0,0.005265467310223783
165,10,2003-07-01,2385,25,carlsen,1503014,106.0,0.010482180293501049
164,11,2003-10-01,2450,36,carlsen,1503014,65.0,0.014693877551020407
162,12,2004-04-01,2552,35,carlsen,1503014,102.0,0.01371473354231975
163,13,2004-01-01,2484,45,carlsen,1503014,-68.0,0.018115942028985508
161,14,2004-07-01,2567,32,carlsen,1503014,83.0,0.012465913517724971
160,15,2004-10-01,2581,23,carlsen,1503014,14.0,0.008911274699728787
158,16,2005-04-01,2548,22,carlsen,1503014,-33.0,0.008634222919937205
159,17,2005-01-01,2553,35,carlsen,1503014,5.0,0.013709361535448493
157,18,2005-07-01,2528,15,carlsen,1503014,-25.0,0.005933544303797469
156,19,2005-10-01,2570,32,carlsen,1503014,42.0,0.012451361867704281
154,20,2006-04-01,2646,13,carlsen,1503014,76.0,0.0049130763416477706
155,21,2006-01-01,2625,40,carlsen,1503014,-21.0,0.015238095238095238
153,22,2006-07-01,2675,27,carlsen,1503014,50.0,0.010093457943925233
152,23,2006-10-01,2698,46,carlsen,1503014,23.0,0.01704966641957005
150,24,2007-04-01,2693,27,carlsen,1503014,-5.0,0.010025993316004456
151,25,2007-01-01,2690,11,carlsen,1503014,-3.0,0.004089219330855019
149,26,2007-07-01,2710,19,carlsen,1503014,20.0,0.007011070110701107
148,27,2007-10-01,2714,25,carlsen,1503014,4.0,0.009211495946941784
146,28,2008-04-01,2765,27,carlsen,1503014,51.0,0.00976491862567812
147,29,2008-01-01,2733,37,carlsen,1503014,-32.0,0.01353823637028906
145,30,2008-07-01,2775,16,carlsen,1503014,42.0,0.005765765765765766
144,31,2008-10-01,2786,31,carlsen,1503014,11.0,0.011127063890882987
142,32,2009-04-01,2770,27,carlsen,1503014,-16.0,0.009747292418772563
143,33,2009-01-01,2776,17,carlsen,1503014,6.0,0.006123919308357349
141,34,2009-07-01,2772,12,carlsen,1503014,-4.0,0.004329004329004329
139,35,2009-11-01,2801,10,carlsen,1503014,29.0,0.003570153516601214
140,36,2009-09-01,2772,10,carlsen,1503014,-29.0,0.0036075036075036075
138,37,2010-01-01,2810,16,carlsen,1503014,38.0,0.0056939501779359435
