age;year;county;count
15_19;0;ALEXANDER;0
15_19;0;BROWN;0
15_19;0;CALHOUN;0
15_19;0;CARROLL;5
15_19;0;CASS;0
15_19;0;CLARK;7
15_19;0;CLAY;0
15_19;0;CRAWFORD;4
15_19;0;CUMBERLAND;0
15_19;0;DE WITT;12
15_19;0;DOUGLAS;13
15_19;0;EDGAR;6
15_19;0;EDWARDS;0
15_19;0;FAYETTE;8
15_19;0;FORD;0
15_19;0;GALLATIN;0
15_19;0;GREENE;0
15_19;0;HAMILTON;0
15_19;0;HANCOCK;11
15_19;0;HARDIN;0
15_19;1;ALEXANDER;0
15_19;1;BROWN;0
15_19;1;CALHOUN;0
15_19;1;CARROLL;4
15_19;1;CASS;0
15_19;1;CLARK;7
15_19;1;CLAY;0
15_19;1;CRAWFORD;3
15_19;1;CUMBERLAND;0
15_19;1;DE WITT;3
15_19;1;DOUGLAS;16
15_19;1;EDGAR;4
15_19;1;EDWARDS;0
15_19;1;FAYETTE;10
15_19;1;FORD;0
15_19;1;GALLATIN;0
15_19;1;GREENE;0
15_19;1;HAMILTON;0
15_19;1;HANCOCK;12
15_19;1;HARDIN;0
15_19;2;ALEXANDER;0
15_19;2;BROWN;0
15_19;2;CALHOUN;0
15_19;2;CARROLL;5
15_19;2;CASS;0
0 15_19;2;CLARK;4
1 15_19;2;CLAY;0
2 15_19;2;CRAWFORD;8
3 15_19;2;CUMBERLAND;0
4 15_19;2;DE WITT;8
5 15_19;2;DOUGLAS;7
6 15_19;2;EDGAR;5
7 15_19;2;EDWARDS;0
8 15_19;2;FAYETTE;18
9 15_19;2;FORD;0
0 15_19;2;GALLATIN;0
1 15_19;2;GREENE;0
2 15_19;2;HAMILTON;0
3 15_19;2;HANCOCK;8
4 15_19;2;HARDIN;0
2 15_19;3;ALEXANDER;0
3 15_19;3;BROWN;0
4 15_19;3;CALHOUN;0
5 15_19;3;CARROLL;3
6 15_19;3;CASS;0
7 15_19;3;CLARK;4
8 15_19;3;CLAY;0
9 15_19;3;CRAWFORD;4
0 15_19;3;CUMBERLAND;0
1 15_19;3;DE WITT;10
2 15_19;3;DOUGLAS;13
3 15_19;3;EDGAR;5
4 15_19;3;EDWARDS;0
5 15_19;3;FAYETTE;10
6 15_19;3;FORD;0
7 15_19;3;GALLATIN;0
8 15_19;3;GREENE;0
9 15_19;3;HAMILTON;0
0 15_19;3;HANCOCK;5
1 15_19;3;HARDIN;0
9 15_19;4;ALEXANDER;0
0 15_19;4;BROWN;0
1 15_19;4;CALHOUN;0
2 15_19;4;CARROLL;4
3 15_19;4;CASS;0
4 15_19;4;CLARK;4
5 15_19;4;CLAY;0
6 15_19;4;CRAWFORD;6
7 15_19;4;CUMBERLAND;0
8 15_19;4;DE WITT;13
9 15_19;4;DOUGLAS;14
0 15_19;4;EDGAR;7
1 15_19;4;EDWARDS;0
2 15_19;4;FAYETTE;10
3 15_19;4;FORD;0
4 15_19;4;GALLATIN;0
5 15_19;4;GREENE;0
6 15_19;4;HAMILTON;0
7 15_19;4;HANCOCK;9
8 15_19;4;HARDIN;0
6 15_19;5;ALEXANDER;0
7 15_19;5;BROWN;0
8 15_19;5;CALHOUN;0
9 15_19;5;CARROLL;5
0 15_19;5;CASS;0
1 15_19;5;CLARK;8
2 15_19;5;CLAY;0
3 15_19;5;CRAWFORD;9
4 15_19;5;CUMBERLAND;0
5 15_19;5;DE WITT;6
6 15_19;5;DOUGLAS;3
7 15_19;5;EDGAR;4
8 15_19;5;EDWARDS;0
9 15_19;5;FAYETTE;12
0 15_19;5;FORD;0
1 15_19;5;GALLATIN;0
2 15_19;5;GREENE;0
3 15_19;5;HAMILTON;0
4 15_19;5;HANCOCK;15
5 15_19;5;HARDIN;0
3 15_19;6;ALEXANDER;0
4 15_19;6;BROWN;0
5 15_19;6;CALHOUN;0
6 15_19;6;CARROLL;2
7 15_19;6;CASS;0
8 15_19;6;CLARK;7
9 15_19;6;CLAY;0
0 15_19;6;CRAWFORD;2
1 15_19;6;CUMBERLAND;0
2 15_19;6;DE WITT;5
3 15_19;6;DOUGLAS;8
4 15_19;6;EDGAR;5
5 15_19;6;EDWARDS;0
6 15_19;6;FAYETTE;11
7 15_19;6;FORD;0
8 15_19;6;GALLATIN;0
9 15_19;6;GREENE;0
0 15_19;6;HAMILTON;0
1 15_19;6;HANCOCK;10
2 15_19;6;HARDIN;0
0 15_19;7;ALEXANDER;0
1 15_19;7;BROWN;0
2 15_19;7;CALHOUN;0
3 15_19;7;CARROLL;11
4 15_19;7;CASS;0
5 15_19;7;CLARK;10
6 15_19;7;CLAY;0
7 15_19;7;CRAWFORD;10
8 15_19;7;CUMBERLAND;0
9 15_19;7;DE WITT;17
0 15_19;7;DOUGLAS;9
1 15_19;7;EDGAR;6
2 15_19;7;EDWARDS;0
3 15_19;7;FAYETTE;9
4 15_19;7;FORD;0
5 15_19;7;GALLATIN;0
6 15_19;7;GREENE;0
7 15_19;7;HAMILTON;0
8 15_19;7;HANCOCK;10
9 15_19;7;HARDIN;0
7 15_19;8;ALEXANDER;0
8 15_19;8;BROWN;0
9 15_19;8;CALHOUN;0
0 15_19;8;CARROLL;3
1 15_19;8;CASS;0
2 15_19;8;CLARK;8
3 15_19;8;CLAY;0
4 15_19;8;CRAWFORD;10
5 15_19;8;CUMBERLAND;0
6 15_19;8;DE WITT;11
7 15_19;8;DOUGLAS;8
8 15_19;8;EDGAR;2
9 15_19;8;EDWARDS;0
0 15_19;8;FAYETTE;12
1 15_19;8;FORD;0
2 15_19;8;GALLATIN;0
3 15_19;8;GREENE;0
4 15_19;8;HAMILTON;0
5 15_19;8;HANCOCK;7
6 15_19;8;HARDIN;0
4 15_19;9;ALEXANDER;0
5 15_19;9;BROWN;0
6 15_19;9;CALHOUN;0
7 15_19;9;CARROLL;11
8 15_19;9;CASS;0
9 15_19;9;CLARK;12
0 15_19;9;CLAY;0
1 15_19;9;CRAWFORD;10
2 15_19;9;CUMBERLAND;0
3 15_19;9;DE WITT;10
4 15_19;9;DOUGLAS;16
5 15_19;9;EDGAR;9
6 15_19;9;EDWARDS;0
7 15_19;9;FAYETTE;13
8 15_19;9;FORD;0
9 15_19;9;GALLATIN;0
0 15_19;9;GREENE;0
1 15_19;9;HAMILTON;0
2 15_19;9;HANCOCK;7
3 15_19;9;HARDIN;0
3 20_24;0;ALEXANDER;0
4 20_24;0;BROWN;0
5 20_24;0;CALHOUN;0
6 20_24;0;CARROLL;2
7 20_24;0;CASS;0
8 20_24;0;CLARK;3
9 20_24;0;CLAY;0
0 20_24;0;CRAWFORD;8
1 20_24;0;CUMBERLAND;0
2 20_24;0;DE WITT;6
3 20_24;0;DOUGLAS;9
4 20_24;0;EDGAR;5
