id;member_id;loan_amnt;funded_amnt;funded_amnt_inv;term;int_rate;installment;grade;sub_grade;annual_inc;verification_status;issue_d;loan_status;pymnt_plan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11976148;13968311;8000;8000;8000;36 months;9.67;256.9;B;B1;74000;Verified;Feb-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1203719;1444848;1200;1200;1200;36 months;12.12;39.93;B;B3;58000;Not Verified;Apr-2012;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54998739;58569477;15000;15000;15000;36 months;12.69;503.18;C;C2;109400;Not Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5801830;7233534;9000;9000;9000;60 months;12.12;200.75;B;B3;85000;Verified;jul/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31587242;34180414;16000;16000;16000;36 months;11.67;528.92;B;B4;250000;Source Verified;Oct-2014;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7711391;9412792;15600;15600;15600;60 months;15.1;371.95;C;C2;43000;Source Verified;Oct-2013;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54494666;58085421;2400;2400;2400;36 months;15.61;83.92;D;D1;28000;Not Verified;jul/15;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57663583;61416333;23600;23600;23225;60 months;13.99;549.01;C;C4;82000;Verified;Aug-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8967787;10759760;3600;3600;3600;36 months;15.1;124.98;C;C2;65000;Not Verified;nov/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21760921;24083874;20750;20750;20750;36 months;20.2;773.27;E;E3;65000;Source Verified;jul/14;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44765721;47843455;11000;11000;11000;36 months;9.99;354.89;B;B3;62000;Source Verified;May-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8596988;10349022;7200;7200;7200;60 months;14.3;168.66;C;C1;54500;Source Verified;nov/13;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5794746;7226904;7000;7000;7000;36 months;15.8;245.41;C;C3;51000;Source Verified;jun/13;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59501253;63434972;21000;21000;21000;60 months;17.86;531.67;D;D5;75000;Verified;Sep-2015;Current;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10578432;12460357;5000;5000;5000;36 months;12.49;167.25;B;B4;75519;Source Verified;Apr-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36058744;38770293;8000;8000;8000;36 months;10.49;259.99;B;B3;34000;Not Verified;nov/14;Late (16-30 days);n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11727607;13699799;35000;35000;35000;36 months;14.98;1212.95;C;C3;175000;Verified;Feb-2014;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357888;186229;7500;7500;6058.601;36 months;12.72;251.7;C;C4;82000;Verified;Oct-2008;Fully Paid;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
