X.1;X;InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
10952;11306;537240;84347;ROTATING SILVER ANGELS T-LIGHT HLDR;2;12/06/2010 10:08;5.06;NA;United Kingdom
91101;95163;544447;22229;BUNNY WOODEN PAINTED WITH FLOWER;3;2/20/11 11:39;0.85;16466;United Kingdom
89581;93563;544299;16161P;WRAP ENGLISH ROSE;25;2/17/11 12:55;0.42;13178;United Kingdom
81057;84522;543399;21929;JUMBO BAG PINK VINTAGE PAISLEY;1;02/08/2011 11:07;4.13;NA;United Kingdom
10881;11235;537240;22311;OFFICE MUG WARMER BLACK+SILVER;1;12/06/2010 10:08;5.91;NA;United Kingdom
63314;65846;541696;21631;HIPPY CHIC DECORATIVE PARASOL;1;1/20/11 18:08;8.29;NA;United Kingdom
273;308;536398;21232;STRAWBERRY CERAMIC TRINKET BOX;12;12/01/2010 10:52;1.25;13448;United Kingdom
4481;4658;536796;22082;RIBBON REEL STRIPES DESIGN;1;12/02/2010 15:46;1.65;15574;United Kingdom
2119;2193;536569;84870C;GREEN GEISHA GIRL;1;12/01/2010 15:35;3.75;16274;United Kingdom
22625;23412;538199;21467;CHERRY CROCHET FOOD COVER;1;12/10/2010 11:02;3.75;14082;United Kingdom
57638;60030;541421;21557;SET OF 6 FUNKY BEAKERS;5;1/17/11 17:44;2.46;NA;United Kingdom
33241;34606;539412;21080;SET/20 RED RETROSPOT PAPER NAPKINS;3;12/17/10 13:39;0.85;NA;United Kingdom
67429;70161;541999;21240;BLUE POLKADOT CUP;2;1/25/11 10:45;1.63;NA;United Kingdom
21893;22668;538177;21251;DINOSAUR HEIGHT CHART STICKER SET;1;12/10/2010 09:51;5.91;NA;United Kingdom
60256;62690;541510;85059;FRENCH ENAMEL WATER BASIN;1;1/18/11 16:39;3.75;14428;United Kingdom
49519;51576;540647;22189;CREAM HEART CARD HOLDER;6;01/10/2011 14:57;3.95;17406;United Kingdom
26955;27905;538566;90010E;AMBER GLASS/SILVER BRACELET;1;12/13/10 11:21;9.34;NA;United Kingdom
64704;67357;541830;22372;AIRLINE BAG VINTAGE WORLD CHAMPION;1;1/21/11 17:09;8.29;NA;United Kingdom
87911;91847;544157;21577;SAVE THE PLANET COTTON TOTE BAG;6;2/16/11 12:46;2.25;12372;Denmark
62180;64681;541659;22469;HEART OF WICKER SMALL;12;1/20/11 12:16;1.65;15262;United Kingdom
37873;39344;539636;22624;IVORY KITCHEN SCALES;4;12/20/10 15:15;8.50;12481;Germany
5502;5741;536874;84925D;LA PALMIERA WALL THERMOMETER;1;12/03/2010 11:35;2.55;16891;United Kingdom
92358;96542;544571;85177;BASKET OF FLOWERS SEWING KIT;12;2/21/11 13:07;0.85;15146;United Kingdom
70231;73104;542303;84509A;SET OF 4 ENGLISH ROSE PLACEMATS;4;1/27/11 11:05;3.75;12539;Spain
81654;85135;543463;22162;HEART GARLAND RUSTIC PADDED;1;02/08/2011 14:06;2.95;15311;United Kingdom
36701;38092;539492;22469;HEART OF WICKER SMALL;3;12/20/10 10:14;3.36;NA;United Kingdom
5986;6225;536876;21155;RED RETROSPOT PEG BAG;1;12/03/2010 11:36;4.21;NA;United Kingdom
20977;21714;538113;20970;PINK FLORAL FELTCRAFT SHOULDER BAG;4;12/09/2010 15:29;3.75;15811;United Kingdom
8491;8817;537153;22560;TRADITIONAL MODELLING CLAY;8;12/05/2010 13:03;1.25;16718;United Kingdom
20368;21072;538071;22650;CERAMIC PIRATE CHEST MONEY BANK;2;12/09/2010 14:09;3.36;NA;United Kingdom
37696;39163;539631;22155;STAR DECORATION RUSTIC;1;12/20/10 15:03;0.85;NA;United Kingdom
71823;74851;542534;22499;WOODEN UNION JACK BUNTING;3;1/28/11 13:27;5.95;13707;United Kingdom
53204;55408;540994;21989;PACK OF 20 SKULL PAPER NAPKINS;12;1/13/11 9:29;0.85;13089;United Kingdom
5023;5257;536852;21791;VINTAGE HEADS AND TAILS CARD GAME;12;12/03/2010 09:51;1.25;12686;France
5452;5691;536874;22866;HAND WARMER SCOTTY DOG DESIGN;1;12/03/2010 11:35;2.10;16891;United Kingdom
43457;45261;540255;21108;FAIRY CAKE FLANNEL ASSORTED COLOUR;2;01/05/2011 16:50;5.06;NA;United Kingdom
76376;79652;542999;22674;FRENCH TOILET SIGN BLUE METAL;1;02/02/2011 12:16;2.46;NA;United Kingdom
91475;95542;544460;21875;KINGS CHOICE MUG;3;2/20/11 14:01;1.25;16931;United Kingdom
35569;36943;539453;22952;60 CAKE CASES VINTAGE CHRISTMAS;1;12/17/10 17:08;1.28;NA;United Kingdom
78389;81739;543172;22356;CHARLOTTE BAG PINK POLKADOT;2;02/04/2011 09:11;2.46;NA;United Kingdom
19226;19887;537900;22144;CHRISTMAS CRAFT LITTLE FRIENDS;4;12/09/2010 10:45;2.10;15983;United Kingdom
28227;29245;538715;22548;HEADS AND TAILS SPORTING FUN;12;12/14/10 11:03;1.25;14907;United Kingdom
80996;84461;543397;22454;MEASURING TAPE BABUSHKA RED;1;02/08/2011 10:32;2.95;17859;United Kingdom
21038;21798;538145;21781;MA CAMPAGNE CUTLERY BOX;1;12/09/2010 16:08;14.95;15211;United Kingdom
74603;77772;542786;22902;TOTE BAG I LOVE LONDON;12;02/01/2011 10:15;2.10;17314;United Kingdom
79806;83213;543292;22241;GARLAND WOODEN HAPPY EASTER;2;02/07/2011 11:15;1.25;14534;United Kingdom
67627;70372;542006;22192;BLUE DINER WALL CLOCK;2;1/25/11 11:20;8.50;15218;United Kingdom
80400;83829;543354;22907;PACK OF 20 NAPKINS PANTRY DESIGN;12;02/07/2011 13:50;0.85;13458;United Kingdom
3339;3455;536630;22411;JUMBO SHOPPER VINTAGE RED PAISLEY;6;12/02/2010 10:56;1.65;17850;United Kingdom
10667;11021;537240;21031;SPACE CADET BLACK;1;12/06/2010 10:08;2.51;NA;United Kingdom
81053;84518;543399;21775;DECORATIVE FLORE BATHROOM BOTTLE;1;02/08/2011 11:07;2.46;NA;United Kingdom
72520;75613;542605;21539;RED RETROSPOT BUTTER DISH;1;1/30/11 12:42;4.95;17796;United Kingdom
32002;33278;539245;22746;POPPY'S PLAYHOUSE LIVINGROOM;1;12/16/10 13:25;2.10;NA;United Kingdom
