date;ret
20/06/2008;1.595472e-03
23/06/2008;-7.476999e-03
24/06/2008;3.698231e-04
25/06/2008;-2.740056e-03
26/06/2008;5.170571e-03
27/06/2008;-3.454045e-03
30/06/2008;-4.619475e-03
01/07/2008;-3.925461e-06
02/07/2008;-1.774879e-03
03/07/2008;3.437917e-03
07/07/2008;-1.963656e-03
08/07/2008;6.211769e-03
09/07/2008;-7.128643e-03
10/07/2008;-9.154189e-03
11/07/2008;-1.270657e-03
14/07/2008;-8.237352e-03
15/07/2008;2.436951e-03
16/07/2008;2.097774e-03
17/07/2008;7.007491e-03
18/07/2008;-3.400545e-03
21/07/2008;3.240866e-03
22/07/2008;-2.726001e-03
23/07/2008;-6.977296e-05
24/07/2008;-1.528995e-03
25/07/2008;-8.298472e-03
28/07/2008;-2.243513e-03
29/07/2008;1.157041e-03
30/07/2008;5.645277e-03
31/07/2008;2.721738e-03
01/08/2008;2.942854e-03
04/08/2008;8.258389e-04
05/08/2008;-6.498636e-03
06/08/2008;-1.806973e-03
07/08/2008;-1.601624e-03
08/08/2008;4.127764e-04
11/08/2008;-2.090633e-03
12/08/2008;3.155826e-03
13/08/2008;-8.284359e-04
14/08/2008;3.687572e-03
15/08/2008;6.325176e-04
18/08/2008;4.005052e-03
19/08/2008;-1.032044e-02
20/08/2008;4.634477e-04
21/08/2008;2.425436e-04
22/08/2008;-1.720077e-03
25/08/2008;-8.810677e-03
26/08/2008;-6.906340e-03
27/08/2008;-3.905362e-03
28/08/2008;-2.456153e-03
29/08/2008;-2.194669e-03
02/09/2008;-3.839946e-04
03/09/2008;-4.324624e-03
04/09/2008;7.935591e-03
05/09/2008;7.554149e-03
08/09/2008;-9.962720e-04
09/09/2008;2.764510e-03
10/09/2008;2.289270e-03
11/09/2008;-9.873424e-04
12/09/2008;-1.099138e-04
15/09/2008;-2.067098e-03
16/09/2008;-2.196735e-03
17/09/2008;1.405485e-04
18/09/2008;1.563370e-03
19/09/2008;-9.593650e-04
22/09/2008;1.581822e-03
23/09/2008;8.429639e-04
24/09/2008;1.475793e-03
25/09/2008;4.477473e-04
26/09/2008;-3.369311e-05
