"","track_name","artist_name","album_name","song_age","valence","tempo","popularity","duration_ms"
"1","Crazy In Love","Beyoncé","Dangerously In Love",5351,70.1,99.259,72,235933
"2","Naughty Girl","Beyoncé","Dangerously In Love",5351,64.3,99.973,59,208600
"3","Baby Boy","Beyoncé","Dangerously In Love",5351,77.4,91.039,57,244867
"4","Hip Hop Star","Beyoncé","Dangerously In Love",5351,96.8,166.602,39,222533
"5","Be With You","Beyoncé","Dangerously In Love",5351,75.6,74.934,42,260160
"6","Me, Myself and I","Beyoncé","Dangerously In Love",5351,55.5,83.615,54,301173
"7","Yes","Beyoncé","Dangerously In Love",5351,56.2,112.439,43,259093
"8","Signs","Beyoncé","Dangerously In Love",5351,39.8,74.283,41,298533
"9","Speechless","Beyoncé","Dangerously In Love",5351,9.92,112.726,41,360440
"10","That's How You Like It","Beyoncé","Dangerously In Love",5351,68.1,84.2,42,219160
"11","The Closer I Get to You","Beyoncé","Dangerously In Love",5351,27.8,116.153,43,297800
"12","Dangerously In Love","Beyoncé","Dangerously In Love",5351,48.9,99.947,52,293107
"13","Beyoncé Interlude","Beyoncé","Dangerously In Love",5351,54.1,133.173,0,16360
"14","Gift from Virgo","Beyoncé","Dangerously In Love",5351,31.1,93.615,35,163707
"15","Work It Out","Beyoncé","Dangerously In Love",5351,94.8,173.954,45,246067
"16","'03 Bonnie & Clyde","Beyoncé","Dangerously In Love",5351,34.8,89.889,11,204467
"17","Beautiful Liar","Beyoncé","BDay",4186,41.8,91.977,65,199853
"18","Irreplaceable","Beyoncé","BDay",4186,50.9,175.868,78,227853
"19","Green Light","Beyoncé","BDay",4186,72.6,107.045,50,210240
"20","Kitty Kat","Beyoncé","BDay",4186,53.7,157.992,48,235680
"21","Welcome To Hollywood","Beyoncé","BDay",4186,78,124.821,45,198280
"22","Upgrade U","Beyoncé","BDay",4186,48.3,84.547,66,273053
"23","Flaws and All","Beyoncé","BDay",4186,62.5,151.947,50,248853
"24","World Wide Woman","Beyoncé","BDay",4186,19.6,92.161,42,222013
"25","Get Me Bodied","Beyoncé","BDay",4186,66.7,96.54,53,379120
"26","If","Beyoncé","BDay",4186,29.8,94.922,43,198280
"27","Freakum Dress","Beyoncé","BDay",4186,45.9,98.96,52,201200
"28","Suga Mama","Beyoncé","BDay",4186,57.3,93.852,45,205973
"29","Deja Vu","Beyoncé","BDay",4186,35.5,105.253,63,240280
"30","Ring The Alarm","Beyoncé","BDay",4186,48,169.673,56,203347
"31","Resentment","Beyoncé","BDay",4186,48,197.431,52,282360
"32","Listen (From the Motion Picture ""Dreamgirls"")","Beyoncé","BDay",4186,18.7,122.394,60,219547
"33","Amor Gitano","Beyoncé","BDay",4186,59.6,167.875,53,228413
"34","Listen (Oye)","Beyoncé","BDay",4186,14.1,122.868,44,221200
"35","Irreplaceable (Irreemplazable)","Beyoncé","BDay",4186,61.5,175.861,43,227667
"36","Beautiful Liar (Bello Embustero)","Beyoncé","BDay",4186,51.3,91.962,38,200813
"37","Tim McGraw","Taylor Swift","Taylor Swift",4132,39,152.175,61,232107
"38","Picture To Burn","Taylor Swift","Taylor Swift",4132,82.9,105.587,63,173067
"39","A Place in this World","Taylor Swift","Taylor Swift",4132,38.6,115.012,52,199200
"40","Cold As You","Taylor Swift","Taylor Swift",4132,35,175.662,51,239013
"41","The Outside","Taylor Swift","Taylor Swift",4132,60.8,112.979,48,207107
