     x  y
1    1 28
2    2 28
3    3 28
4    4 28
5    5 28
6    6 28
7    7 28
8    8 28
9    9 28
10  10 28
11  11 28
12  12 28
13  13 28
14  14 28
15  15 28
16  16 28
17  17 28
18  18 28
19  19 28
20  20 28
21  21 28
22  22 28
23  23 28
24  24 28
25  25 28
26  26 28
27  27 28
28  28 28
29   1 27
30   2 27
31   3 27
32   4 27
33   5 27
34   6 27
35   7 27
36   8 27
37   9 27
38  10 27
39  11 27
40  12 27
41  13 27
42  14 27
43  15 27
44  16 27
45  17 27
46  18 27
47  19 27
48  20 27
49  21 27
50  22 27
51  23 27
52  24 27
53  25 27
54  26 27
55  27 27
56  28 27
57   1 26
58   2 26
59   3 26
60   4 26
61   5 26
62   6 26
63   7 26
64   8 26
65   9 26
66  10 26
67  11 26
68  12 26
69  13 26
70  14 26
71  15 26
72  16 26
73  17 26
74  18 26
75  19 26
76  20 26
77  21 26
78  22 26
79  23 26
80  24 26
81  25 26
82  26 26
83  27 26
84  28 26
85   1 25
86   2 25
87   3 25
88   4 25
89   5 25
90   6 25
91   7 25
92   8 25
93   9 25
94  10 25
95  11 25
96  12 25
97  13 25
98  14 25
99  15 25
100 16 25
101 17 25
102 18 25
103 19 25
104 20 25
105 21 25
106 22 25
107 23 25
108 24 25
109 25 25
110 26 25
111 27 25
112 28 25
113  1 24
114  2 24
115  3 24
116  4 24
117  5 24
118  6 24
119  7 24
120  8 24
121  9 24
122 10 24
123 11 24
124 12 24
125 13 24
126 14 24
127 15 24
128 16 24
129 17 24
130 18 24
131 19 24
132 20 24
133 21 24
134 22 24
135 23 24
136 24 24
137 25 24
138 26 24
139 27 24
140 28 24
141  1 23
142  2 23
143  3 23
144  4 23
145  5 23
146  6 23
147  7 23
148  8 23
149  9 23
150 10 23
151 11 23
152 12 23
153 13 23
154 14 23
155 15 23
156 16 23
157 17 23
158 18 23
159 19 23
160 20 23
161 21 23
162 22 23
163 23 23
164 24 23
165 25 23
166 26 23
167 27 23
168 28 23
169  1 22
170  2 22
171  3 22
172  4 22
173  5 22
174  6 22
175  7 22
176  8 22
177  9 22
178 10 22
179 11 22
180 12 22
181 13 22
182 14 22
183 15 22
184 16 22
185 17 22
186 18 22
187 19 22
188 20 22
189 21 22
190 22 22
191 23 22
192 24 22
193 25 22
194 26 22
195 27 22
196 28 22
197  1 21
198  2 21
199  3 21
200  4 21
201  5 21
202  6 21
203  7 21
204  8 21
205  9 21
206 10 21
207 11 21
208 12 21
209 13 21
210 14 21
211 15 21
212 16 21
213 17 21
214 18 21
215 19 21
216 20 21
217 21 21
218 22 21
219 23 21
220 24 21
221 25 21
222 26 21
223 27 21
224 28 21
225  1 20
226  2 20
227  3 20
228  4 20
229  5 20
230  6 20
231  7 20
232  8 20
233  9 20
234 10 20
235 11 20
236 12 20
237 13 20
238 14 20
239 15 20
240 16 20
241 17 20
242 18 20
243 19 20
244 20 20
245 21 20
246 22 20
247 23 20
248 24 20
249 25 20
250 26 20
251 27 20
252 28 20
253  1 19
254  2 19
255  3 19
256  4 19
257  5 19
258  6 19
259  7 19
260  8 19
261  9 19
262 10 19
263 11 19
264 12 19
265 13 19
266 14 19
267 15 19
268 16 19
269 17 19
270 18 19
271 19 19
272 20 19
273 21 19
274 22 19
275 23 19
276 24 19
277 25 19
278 26 19
279 27 19
280 28 19
